BRT_NAAM;BRT_CODE;BRT_VOLLCODE;BCE_NAAM;BCE_CODE;BCE_VOLLCODE;SDL_NAAM;SDL_CODE;GGW_NAAM;GGW_CODE
Julianapark;c;M55c;Frankendael;55;M55;Oost;M;Watergraafsmeer;DX15
Don Bosco;d;M55d;Frankendael;55;M55;Oost;M;Watergraafsmeer;DX15
Frankendael;e;M55e;Frankendael;55;M55;Oost;M;Watergraafsmeer;DX15
Tuindorp Amstelstation;f;M55f;Frankendael;55;M55;Oost;M;Watergraafsmeer;DX15
De Wetbuurt;g;M55g;Frankendael;55;M55;Oost;M;Watergraafsmeer;DX15
Tuindorp Frankendael;h;M55h;Frankendael;55;M55;Oost;M;Watergraafsmeer;DX15
Van der Kunbuurt;i;M55i;Frankendael;55;M55;Oost;M;Watergraafsmeer;DX15
Linnaeusparkbuurt;a;M56a;Middenmeer;56;M56;Oost;M;Watergraafsmeer;DX15
Middenmeer Noord;b;M56b;Middenmeer;56;M56;Oost;M;Watergraafsmeer;DX15
Middenmeer Zuid;c;M56c;Middenmeer;56;M56;Oost;M;Watergraafsmeer;DX15
Sportpark Middenmeer Zuid;d;M56d;Middenmeer;56;M56;Oost;M;Watergraafsmeer;DX15
Sportpark Middenmeer Noord;e;M56e;Middenmeer;56;M56;Oost;M;Watergraafsmeer;DX15
Park de Meer;f;M56f;Middenmeer;56;M56;Oost;M;Watergraafsmeer;DX15
Sportpark Voorland;g;M56g;Middenmeer;56;M56;Oost;M;Watergraafsmeer;DX15
Science Park Noord;h;M56h;Middenmeer;56;M56;Oost;M;Watergraafsmeer;DX15
Science Park Zuid;i;M56i;Middenmeer;56;M56;Oost;M;Watergraafsmeer;DX15
Betondorp;a;M57a;Betondorp;57;M57;Oost;M;Watergraafsmeer;DX15
Nieuwe Oosterbegraafplaats;b;M57b;Betondorp;57;M57;Oost;M;Watergraafsmeer;DX15
Drieburg;c;M57c;Betondorp;57;M57;Oost;M;Watergraafsmeer;DX15
Weespertrekvaart;b;M58b;Omval/Overamstel;58;M58;Oost;M;Watergraafsmeer;DX15
Amstelglorie;e;M58e;Omval/Overamstel;58;M58;Oost;M;Watergraafsmeer;DX15
Overamstel;f;M58f;Omval/Overamstel;58;M58;Oost;M;Watergraafsmeer;DX15
Amstelkwartier Noord;g;M58g;Omval/Overamstel;58;M58;Oost;M;Watergraafsmeer;DX15
De Omval;h;M58h;Omval/Overamstel;58;M58;Oost;M;Watergraafsmeer;DX15
Amstelkwartier Zuid;i;M58i;Omval/Overamstel;58;M58;Oost;M;Watergraafsmeer;DX15
Amstelkwartier West;j;M58j;Omval/Overamstel;58;M58;Oost;M;Watergraafsmeer;DX15
Van der Pekbuurt;a;N60a;Volewijck;60;N60;Noord;N;Oud-Noord;DX18
Bloemenbuurt Zuid;b;N60b;Volewijck;60;N60;Noord;N;Oud-Noord;DX18
Bloemenbuurt Noord;c;N60c;Volewijck;60;N60;Noord;N;Oud-Noord;DX18
IJplein e.o.;a;N61a;IJplein/Vogelbuurt;61;N61;Noord;N;Oud-Noord;DX18
Vogelbuurt Zuid;b;N61b;IJplein/Vogelbuurt;61;N61;Noord;N;Oud-Noord;DX18
Vogelbuurt Noord;c;N61c;IJplein/Vogelbuurt;61;N61;Noord;N;Oud-Noord;DX18
Vliegenbos;d;N61d;IJplein/Vogelbuurt;61;N61;Noord;N;Oud-Noord;DX18
Tuindorp Nieuwendam West;a;N62a;Tuindorp Nieuwendam;62;N62;Noord;N;Oud-Noord;DX18
Tuindorp Nieuwendam Oost;b;N62b;Tuindorp Nieuwendam;62;N62;Noord;N;Oud-Noord;DX18
Blauwe Zand;a;N63a;Tuindorp Buiksloot;63;N63;Noord;N;Oud-Noord;DX18
Buiksloterdijk West;a;N64a;Nieuwendammerdijk/Buiksloterdijk;64;N64;Noord;N;Oud-Noord;DX18
Buiksloterdijk Oost;b;N64b;Nieuwendammerdijk/Buiksloterdijk;64;N64;Noord;N;Oud-Noord;DX18
Nieuwendammerdijk West;c;N64c;Nieuwendammerdijk/Buiksloterdijk;64;N64;Noord;N;Oud-Noord;DX18
Nieuwendammerdijk Oost;d;N64d;Nieuwendammerdijk/Buiksloterdijk;64;N64;Noord;N;Oud-Noord;DX18
Nieuwendammerdijk Zuid;e;N64e;Nieuwendammerdijk/Buiksloterdijk;64;N64;Noord;N;Oud-Noord;DX18
Tuindorp Oostzaan West;a;N65a;Tuindorp Oostzaan;65;N65;Noord;N;West;DX17
Tuindorp Oostzaan Oost;b;N65b;Tuindorp Oostzaan;65;N65;Noord;N;West;DX17
Terrasdorp;c;N65c;Tuindorp Oostzaan;65;N65;Noord;N;West;DX17
De Bongerd;d;N65d;Tuindorp Oostzaan;65;N65;Noord;N;West;DX17
Oostzanerdijk;b;N66b;Oostzanerwerf;66;N66;Noord;N;West;DX17
Walvisbuurt;c;N66c;Oostzanerwerf;66;N66;Noord;N;West;DX17
Twiske West;d;N66d;Oostzanerwerf;66;N66;Noord;N;West;DX17
Noorder IJplas;e;N66e;Oostzanerwerf;66;N66;Noord;N;West;DX17
Molenwijk;f;N66f;Oostzanerwerf;66;N66;Noord;N;West;DX17
Circus/Kermisbuurt;g;N66g;Oostzanerwerf;66;N66;Noord;N;West;DX17
Kadoelen;a;N67a;Kadoelen;67;N67;Noord;N;West;DX17
Twiske Oost;b;N67b;Kadoelen;67;N67;Noord;N;West;DX17
Baanakkerspark Noord;a;N68a;Waterlandpleinbuurt;68;N68;Noord;N;Oost;DX19
Baanakkerspark Zuid;b;N68b;Waterlandpleinbuurt;68;N68;Noord;N;Oost;DX19
Werengouw Midden;c;N68c;Waterlandpleinbuurt;68;N68;Noord;N;Oost;DX19
Markengouw Midden;d;N68d;Waterlandpleinbuurt;68;N68;Noord;N;Oost;DX19
Markengouw Zuid;e;N68e;Waterlandpleinbuurt;68;N68;Noord;N;Oost;DX19
Werengouw Zuid;f;N68f;Waterlandpleinbuurt;68;N68;Noord;N;Oost;DX19
Rode Kruisbuurt;a;N69a;Buikslotermeer;69;N69;Noord;N;Oost;DX19
Loenermark;c;N69c;Buikslotermeer;69;N69;Noord;N;Oost;DX19
Buikslotermeerplein;j;N69j;Buikslotermeer;69;N69;Noord;N;Oost;DX19
Plan van Gool;k;N69k;Buikslotermeer;69;N69;Noord;N;Oost;DX19
De Kleine Wereld;l;N69l;Buikslotermeer;69;N69;Noord;N;Oost;DX19
Buikslotermeer Noord;m;N69m;Buikslotermeer;69;N69;Noord;N;Oost;DX19
Banne Zuidwest;a;N70a;Banne Buiksloot;70;N70;Noord;N;West;DX17
Banne Zuidoost;b;N70b;Banne Buiksloot;70;N70;Noord;N;West;DX17
Banne Noordwest;c;N70c;Banne Buiksloot;70;N70;Noord;N;West;DX17
Banne Noordoost;d;N70d;Banne Buiksloot;70;N70;Noord;N;West;DX17
Buiksloterbreek;e;N70e;Banne Buiksloot;70;N70;Noord;N;West;DX17
Marjoleinterrein;f;N70f;Banne Buiksloot;70;N70;Noord;N;West;DX17
Papaverweg e.o.;c;N71c;Noordelijke IJ-oevers West;71;N71;Noord;N;Oud-Noord;DX18
Cornelis Douwesterrein;e;N71e;Noordelijke IJ-oevers West;71;N71;Noord;N;Oud-Noord;DX18
NDSM terrein;f;N71f;Noordelijke IJ-oevers West;71;N71;Noord;N;Oud-Noord;DX18
Buiksloterham;g;N71g;Noordelijke IJ-oevers West;71;N71;Noord;N;Oud-Noord;DX18
Overhoeks;h;N71h;Noordelijke IJ-oevers West;71;N71;Noord;N;Oud-Noord;DX18
Bedrijventerrein Hamerstraat;a;N72a;Noordelijke IJ-oevers Oost;72;N72;Noord;N;Oud-Noord;DX18
Zamenhofstraat e.o.;b;N72b;Noordelijke IJ-oevers Oost;72;N72;Noord;N;Oud-Noord;DX18
Bedrijventerrein Nieuwendammerdijk;c;N72c;Noordelijke IJ-oevers Oost;72;N72;Noord;N;Oud-Noord;DX18
Schellingwoude West;a;N73a;Waterland;73;N73;Noord;N;Oost;DX19
Schellingwoude Oost;b;N73b;Waterland;73;N73;Noord;N;Oost;DX19
Schellingwoude Noord;c;N73c;Waterland;73;N73;Noord;N;Oost;DX19
Durgerdam;d;N73d;Waterland;73;N73;Noord;N;Oost;DX19
Zwarte Gouw;e;N73e;Waterland;73;N73;Noord;N;Oost;DX19
Ransdorp;f;N73f;Waterland;73;N73;Noord;N;Oost;DX19
Holysloot;g;N73g;Waterland;73;N73;Noord;N;Oost;DX19
Zunderdorp;h;N73h;Waterland;73;N73;Noord;N;Oost;DX19
Noorderstrook West;i;N73i;Waterland;73;N73;Noord;N;Oost;DX19
Noorderstrook Oost;j;N73j;Waterland;73;N73;Noord;N;Oost;DX19
Nintemanterrein;a;N74a;Elzenhagen;74;N74;Noord;N;Oost;DX19
Elzenhagen Zuid;b;N74b;Elzenhagen;74;N74;Noord;N;Oost;DX19
Elzenhagen Noord;c;N74c;Elzenhagen;74;N74;Noord;N;Oost;DX19
Hoofdcentrum Zuidoost;a;T92a;Amstel III/Bullewijk;92;T92;Zuidoost;T;Bijlmer Centrum;DX20
Amstel III deel A/B Noord;b;T92b;Amstel III/Bullewijk;92;T92;Zuidoost;T;Bijlmer Centrum;DX20
Amstel III deel C/D Noord;c;T92c;Amstel III/Bullewijk;92;T92;Zuidoost;T;Bijlmer Centrum;DX20
Amstel III deel A/B Zuid;d;T92d;Amstel III/Bullewijk;92;T92;Zuidoost;T;Bijlmer Centrum;DX20
Amstel III deel C/D Zuid;e;T92e;Amstel III/Bullewijk;92;T92;Zuidoost;T;Bijlmer Centrum;DX20
AMC;f;T92f;Amstel III/Bullewijk;92;T92;Zuidoost;T;Bijlmer Centrum;DX20
Hoge Dijk;g;T92g;Amstel III/Bullewijk;92;T92;Zuidoost;T;Bijlmer Centrum;DX20
Venserpolder West;a;T93a;Bijlmer Centrum (D,F,H);93;T93;Zuidoost;T;Bijlmer Centrum;DX20
Venserpolder Oost;b;T93b;Bijlmer Centrum (D,F,H);93;T93;Zuidoost;T;Bijlmer Centrum;DX20
D-buurt;c;T93c;Bijlmer Centrum (D,F,H);93;T93;Zuidoost;T;Bijlmer Centrum;DX20
F-buurt;d;T93d;Bijlmer Centrum (D,F,H);93;T93;Zuidoost;T;Bijlmer Centrum;DX20
Amsterdamse Poort;e;T93e;Bijlmer Centrum (D,F,H);93;T93;Zuidoost;T;Bijlmer Centrum;DX20
Hoptille;f;T93f;Bijlmer Centrum (D,F,H);93;T93;Zuidoost;T;Bijlmer Centrum;DX20
Rechte H-buurt;g;T93g;Bijlmer Centrum (D,F,H);93;T93;Zuidoost;T;Bijlmer Centrum;DX20
Hakfort/Huigenbos;h;T93h;Bijlmer Centrum (D,F,H);93;T93;Zuidoost;T;Bijlmer Centrum;DX20
Huntum;i;T93i;Bijlmer Centrum (D,F,H);93;T93;Zuidoost;T;Bijlmer Centrum;DX20
Vogeltjeswei;j;T93j;Bijlmer Centrum (D,F,H);93;T93;Zuidoost;T;Bijlmer Centrum;DX20
Nelson Mandelapark;k;T93k;Bijlmer Centrum (D,F,H);93;T93;Zuidoost;T;Bijlmer Centrum;DX20
E-buurt;a;T94a;Bijlmer Oost (E,G,K);94;T94;Zuidoost;T;Bijlmer Oost;DX21
G-buurt West;b;T94b;Bijlmer Oost (E,G,K);94;T94;Zuidoost;T;Bijlmer Oost;DX21
Bijlmermuseum Noord;c;T94c;Bijlmer Oost (E,G,K);94;T94;Zuidoost;T;Bijlmer Oost;DX21
Kortvoort;d;T94d;Bijlmer Oost (E,G,K);94;T94;Zuidoost;T;Bijlmer Oost;DX21
Kelbergen;e;T94e;Bijlmer Oost (E,G,K);94;T94;Zuidoost;T;Bijlmer Oost;DX21
K-buurt Midden;f;T94f;Bijlmer Oost (E,G,K);94;T94;Zuidoost;T;Bijlmer Oost;DX21
K-buurt Zuidoost;g;T94g;Bijlmer Oost (E,G,K);94;T94;Zuidoost;T;Bijlmer Oost;DX21
K-buurt Zuidwest;h;T94h;Bijlmer Oost (E,G,K);94;T94;Zuidoost;T;Bijlmer Oost;DX21
Grunder/Koningshoef;i;T94i;Bijlmer Oost (E,G,K);94;T94;Zuidoost;T;Bijlmer Oost;DX21
G-buurt Oost;j;T94j;Bijlmer Oost (E,G,K);94;T94;Zuidoost;T;Bijlmer Oost;DX21
Kantershof;k;T94k;Bijlmer Oost (E,G,K);94;T94;Zuidoost;T;Bijlmer Oost;DX21
Gooise Kant;l;T94l;Bijlmer Oost (E,G,K);94;T94;Zuidoost;T;Bijlmer Oost;DX21
G-buurt Noord;m;T94m;Bijlmer Oost (E,G,K);94;T94;Zuidoost;T;Bijlmer Oost;DX21
Bijlmermuseum Zuid;n;T94n;Bijlmer Oost (E,G,K);94;T94;Zuidoost;T;Bijlmer Oost;DX21
L-buurt;a;T95a;Nellestein;95;T95;Zuidoost;T;Gaasperdam / Driemond;DX22
Gaasperpark;b;T95b;Nellestein;95;T95;Zuidoost;T;Gaasperdam / Driemond;DX22
Gaasperplas;c;T95c;Nellestein;95;T95;Zuidoost;T;Gaasperdam / Driemond;DX22
Holendrecht West;a;T96a;Holendrecht/Reigersbos;96;T96;Zuidoost;T;Gaasperdam / Driemond;DX22
Reigersbos Noord;b;T96b;Holendrecht/Reigersbos;96;T96;Zuidoost;T;Gaasperdam / Driemond;DX22
Holendrecht Oost;c;T96c;Holendrecht/Reigersbos;96;T96;Zuidoost;T;Gaasperdam / Driemond;DX22
Gaasperdam Noord;d;T96d;Holendrecht/Reigersbos;96;T96;Zuidoost;T;Gaasperdam / Driemond;DX22
Gaasperdam Zuid;e;T96e;Holendrecht/Reigersbos;96;T96;Zuidoost;T;Gaasperdam / Driemond;DX22
Reigersbos Midden;f;T96f;Holendrecht/Reigersbos;96;T96;Zuidoost;T;Gaasperdam / Driemond;DX22
Reigersbos Zuid;g;T96g;Holendrecht/Reigersbos;96;T96;Zuidoost;T;Gaasperdam / Driemond;DX22
Gein Noordwest;a;T97a;Gein;97;T97;Zuidoost;T;Gaasperdam / Driemond;DX22
Gein Zuidwest;b;T97b;Gein;97;T97;Zuidoost;T;Gaasperdam / Driemond;DX22
Gein Noordoost;c;T97c;Gein;97;T97;Zuidoost;T;Gaasperdam / Driemond;DX22
Gein Zuidoost;d;T97d;Gein;97;T97;Zuidoost;T;Gaasperdam / Driemond;DX22
Dorp Driemond;a;T98a;Driemond;98;T98;Zuidoost;T;Gaasperdam / Driemond;DX22
Landelijk gebied Driemond;b;T98b;Driemond;98;T98;Zuidoost;T;Gaasperdam / Driemond;DX22
